epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.397,1.47403,1.45913,1.21571,0.91525,0.8694,0.93256,0.5453,1.35545,0.86702,1.17614,0.00333056,0.00333056,0.00333056
2,566.6,1.42988,0.992,1.19937,0.91765,0.8774,0.93291,0.54882,1.36635,0.77796,1.19822,0.00659792,0.00659792,0.00659792
3,827.885,1.45175,0.93229,1.2257,0.91064,0.86998,0.93368,0.53746,1.39675,0.79084,1.21655,0.00979928,0.00979928,0.00979928
4,1088.73,1.46375,0.90134,1.24239,0.92122,0.89063,0.95025,0.56266,1.3703,0.73311,1.20275,0.009703,0.009703,0.009703
5,1349.29,1.42262,0.83603,1.2267,0.92762,0.8965,0.95107,0.57463,1.35072,0.68724,1.18543,0.009604,0.009604,0.009604
6,1610.82,1.40997,0.80017,1.21465,0.92524,0.89485,0.95271,0.58214,1.33873,0.68947,1.19451,0.009505,0.009505,0.009505
7,1871.8,1.38932,0.77894,1.20376,0.92566,0.88193,0.94683,0.56925,1.34644,0.68924,1.20127,0.009406,0.009406,0.009406
8,2131.49,1.37232,0.75819,1.19377,0.93342,0.90733,0.95701,0.59468,1.29858,0.63241,1.17231,0.009307,0.009307,0.009307
9,2392.72,1.35843,0.73849,1.18935,0.94358,0.90867,0.96043,0.5999,1.28701,0.62432,1.15782,0.009208,0.009208,0.009208
10,2653.91,1.34366,0.72132,1.17897,0.94112,0.91667,0.96414,0.6085,1.2813,0.60549,1.15619,0.009109,0.009109,0.009109
11,2914.46,1.3337,0.70973,1.17503,0.9384,0.91579,0.96269,0.60861,1.28583,0.60429,1.1503,0.00901,0.00901,0.00901
12,3177.91,1.33389,0.69799,1.17663,0.93225,0.92651,0.96649,0.617,1.25567,0.60299,1.1545,0.008911,0.008911,0.008911
13,3441.56,1.32113,0.69379,1.16822,0.94153,0.92738,0.96885,0.62231,1.2426,0.58523,1.13908,0.008812,0.008812,0.008812
14,3704.1,1.31133,0.68429,1.16286,0.94645,0.93299,0.96972,0.62795,1.25492,0.56357,1.13864,0.008713,0.008713,0.008713
15,3966.62,1.30404,0.67312,1.15946,0.93508,0.9321,0.9686,0.62039,1.25743,0.58235,1.15149,0.008614,0.008614,0.008614
16,4232.88,1.30985,0.6726,1.15837,0.94381,0.92819,0.97084,0.63447,1.22576,0.55985,1.12804,0.008515,0.008515,0.008515
17,4497.06,1.29746,0.66453,1.15466,0.94878,0.93136,0.97225,0.63785,1.23451,0.5662,1.1345,0.008416,0.008416,0.008416
18,4763.25,1.28909,0.65888,1.1479,0.94344,0.92905,0.97187,0.63613,1.23201,0.56218,1.12966,0.008317,0.008317,0.008317
19,5027.92,1.29736,0.65743,1.15345,0.94232,0.93077,0.97248,0.63749,1.22245,0.55471,1.12977,0.008218,0.008218,0.008218
20,5293.58,1.27956,0.65017,1.14348,0.9443,0.93136,0.97305,0.64321,1.21705,0.54486,1.12062,0.008119,0.008119,0.008119
21,5557.96,1.27919,0.64527,1.14865,0.94655,0.92932,0.97201,0.64173,1.21934,0.54659,1.12027,0.00802,0.00802,0.00802
22,5817.72,1.26532,0.63958,1.13729,0.94631,0.93562,0.97478,0.64413,1.20704,0.5397,1.11329,0.007921,0.007921,0.007921
23,6082.49,1.26708,0.63593,1.1386,0.94753,0.93235,0.97341,0.64215,1.21608,0.54458,1.11958,0.007822,0.007822,0.007822
24,6345.13,1.25971,0.63334,1.12932,0.94491,0.93795,0.97517,0.65185,1.20297,0.53528,1.11185,0.007723,0.007723,0.007723
25,6605.77,1.26902,0.63048,1.13838,0.94556,0.93892,0.97614,0.65472,1.20164,0.533,1.10821,0.007624,0.007624,0.007624
